model,temperature,qid,avg_similarity,std_similarity,min_similarity,stability_score
meta-llama/llama-3.3-70b-instruct,0.1,Q1,0.87207395,0.0518531,0.7654426,0.8202208
meta-llama/llama-3.3-70b-instruct,0.1,Q10,0.84998095,0.05542815,0.747653,0.7945528
meta-llama/llama-3.3-70b-instruct,0.1,Q11,0.6812887,0.124298975,0.49071026,0.5569897
meta-llama/llama-3.3-70b-instruct,0.1,Q12,0.5600678,0.29144496,0.11155371,0.26862282
meta-llama/llama-3.3-70b-instruct,0.1,Q13,0.7442872,0.2295594,0.3084255,0.5147278
meta-llama/llama-3.3-70b-instruct,0.1,Q2,0.8291839,0.06977234,0.73290366,0.7594115
meta-llama/llama-3.3-70b-instruct,0.1,Q3,0.90462947,0.032561332,0.85722804,0.87206817
meta-llama/llama-3.3-70b-instruct,0.1,Q4,0.74525076,0.15975988,0.38701424,0.5854909
meta-llama/llama-3.3-70b-instruct,0.1,Q5,0.8098871,0.10450651,0.6723985,0.7053806
meta-llama/llama-3.3-70b-instruct,0.1,Q6,0.8965236,0.034413796,0.83866286,0.8621098
meta-llama/llama-3.3-70b-instruct,0.1,Q7,0.72129875,0.14036909,0.5115086,0.58092964
meta-llama/llama-3.3-70b-instruct,0.1,Q8,0.9141746,0.043110415,0.83100575,0.8710642
meta-llama/llama-3.3-70b-instruct,0.1,Q9,0.8824008,0.07368505,0.76687324,0.80871576
meta-llama/llama-3.3-70b-instruct,0.5,Q1,0.88039804,0.05132825,0.7933029,0.8290698
meta-llama/llama-3.3-70b-instruct,0.5,Q10,0.8534382,0.052300915,0.76705873,0.80113727
meta-llama/llama-3.3-70b-instruct,0.5,Q11,0.59957045,0.20506853,0.3003316,0.39450192
meta-llama/llama-3.3-70b-instruct,0.5,Q12,0.5541785,0.22026345,0.19567241,0.33391502
meta-llama/llama-3.3-70b-instruct,0.5,Q13,0.7705193,0.18787523,0.42526805,0.5826441
meta-llama/llama-3.3-70b-instruct,0.5,Q2,0.71222234,0.16821575,0.4516722,0.5440066
meta-llama/llama-3.3-70b-instruct,0.5,Q3,0.8980571,0.030947594,0.8235362,0.86710954
meta-llama/llama-3.3-70b-instruct,0.5,Q4,0.7404948,0.16262358,0.43768877,0.5778712
meta-llama/llama-3.3-70b-instruct,0.5,Q5,0.80160207,0.09311943,0.6426399,0.7084826
meta-llama/llama-3.3-70b-instruct,0.5,Q6,0.9029094,0.040228575,0.8231603,0.8626808
meta-llama/llama-3.3-70b-instruct,0.5,Q7,0.7324928,0.14986846,0.51135194,0.5826243
meta-llama/llama-3.3-70b-instruct,0.5,Q8,0.9104481,0.047274556,0.8337375,0.86317354
meta-llama/llama-3.3-70b-instruct,0.5,Q9,0.88646597,0.07713856,0.7536613,0.8093274
meta-llama/llama-3.3-70b-instruct,1.0,Q1,0.87388325,0.046456058,0.79882145,0.8274272
meta-llama/llama-3.3-70b-instruct,1.0,Q10,0.74192685,0.177359,0.35343876,0.56456786
meta-llama/llama-3.3-70b-instruct,1.0,Q11,0.57589847,0.25985208,0.20657873,0.3160464
meta-llama/llama-3.3-70b-instruct,1.0,Q12,0.5501793,0.13884331,0.36666572,0.411336
meta-llama/llama-3.3-70b-instruct,1.0,Q13,0.7568886,0.18428305,0.36498994,0.5726056
meta-llama/llama-3.3-70b-instruct,1.0,Q2,0.7919342,0.08024204,0.6714018,0.71169215
meta-llama/llama-3.3-70b-instruct,1.0,Q3,0.903677,0.033429004,0.8537506,0.87024796
